Player,DK Pos,Team,Opp,DK Salary,DK Proj,DK Value,OWN_FRAC,DK Floor,DK Ceiling,LEVERAGE_SCORE,VALUE_PER_1k,CEILING_PCT_RANK,OWNERSHIP_PCT_RANK,leverage_delta,id
Jonathan Taylor,RB,IND,@KC,"$10,000.00",21.2,-1.5,0.04,9.3,35.6,34.354,$2.12,98.98%,75%,24.0%,40835438
Jaxon Smith-Njigba,WR,SEA,@TEN,"$9,000.00",22.6,1.8,0.14,9.1,38.3,32.937999999999995,$2.51,99.32%,96%,3.3%,40835692
Bijan Robinson,RB,ATL,@NO,"$8,500.00",21.9,2.1,0.15,10.4,35.5,30.032999999999998,$2.58,98.64%,97%,1.6%,40835440
Jahmyr Gibbs,RB,DET,NYG,"$8,300.00",22.9,3.5,0.25,9.8,38.8,29.099999999999998,$2.76,100.00%,98%,2.0%,40835442
Amon-Ra St. Brown,WR,DET,NYG,"$8,000.00",22.9,4.0,0.3,9.6,38.8,27.237599999999997,$2.86,100.00%,99%,1.0%,40835696
CeeDee Lamb,WR,DAL,PHI,"$7,900.00",18.7,0.0,0.1,7.5,32.7,29.495400000000004,$2.37,96.26%,89%,7.3%,40835698
Rashee Rice,WR,KC,IND,"$7,700.00",18.8,0.5,0.14,7.8,32.6,28.1338,$2.44,95.92%,95%,0.9%,40835700
Derrick Henry,RB,BAL,NYJ,"$7,600.00",18.9,0.9,0.1,6.9,33.1,29.7238,$2.49,97.62%,90%,7.6%,40835446
Saquon Barkley,RB,PHI,@DAL,"$7,500.00",19.0,1.1,0.1,7.7,32.3,28.9408,$2.53,95.58%,90%,5.6%,40835448
Justin Jefferson,WR,MIN,@GB,"$7,400.00",14.3,-3.3,0.02,5.0,26.4,25.766399999999997,$1.93,86.39%,70%,16.4%,40835702
Tee Higgins,WR,CIN,NE,"$7,100.00",17.0,0.0,0.15,6.2,30.8,26.3032,$2.39,94.56%,96%,-1.4%,40835706
George Pickens,WR,DAL,PHI,"$6,900.00",17.1,0.5,0.1,6.0,30.8,27.566000000000003,$2.48,94.56%,91%,3.6%,40835708
Drake Maye,QB,NE,@CIN,"$6,900.00",23.5,2.2,0.1,13.4,35.0,31.5,$3.41,98.30%,90%,8.3%,40835362
Trey McBride,TE,ARI,JAX,"$6,800.00",20.0,3.6,0.27,8.6,33.1,24.2623,$2.94,97.62%,99%,-1.4%,40836102
Patrick Mahomes,QB,KC,IND,"$6,800.00",22.9,1.9,0.09,12.7,34.1,30.928700000000003,$3.37,97.96%,87%,11.0%,40835363
Lamar Jackson,QB,BAL,NYJ,"$6,700.00",21.5,0.8,0.07,11.8,32.9,30.465399999999995,$3.21,96.60%,83%,13.6%,40835364
TreVeyon Henderson,RB,NE,@CIN,"$6,700.00",15.5,-0.8,0.1,5.8,27.8,25.1034,$2.31,90.48%,88%,2.5%,40835450
Jalen Hurts,QB,PHI,@DAL,"$6,600.00",21.7,1.3,0.1,11.8,33.0,29.766000000000002,$3.29,96.94%,89%,7.9%,40835365
Jaylen Warren,RB,PIT,@CHI,"$6,600.00",14.8,-1.2,0.05,5.8,26.5,25.227999999999998,$2.24,87.76%,78%,9.8%,40835452
Javonte Williams,RB,DAL,PHI,"$6,500.00",15.4,-0.5,0.06,6.1,27.6,25.944,$2.37,89.80%,80%,9.8%,40835454
Stefon Diggs,WR,NE,@CIN,"$6,500.00",15.1,-0.8,0.1,5.1,28.0,25.228,$2.32,91.16%,89%,2.2%,40835710
Dak Prescott,QB,DAL,PHI,"$6,400.00",18.6,-1.2,0.02,9.7,28.8,28.1664,$2.91,92.52%,68%,24.5%,40835367
Chris Olave,WR,NO,ATL,"$6,400.00",15.4,-0.2,0.1,5.6,28.2,25.2672,$2.41,91.84%,90%,1.8%,40835712
Zay Flowers,WR,BAL,NYJ,"$6,300.00",14.9,-0.6,0.1,5.2,27.9,25.2495,$2.37,90.82%,88%,2.8%,40835714
Ashton Jeanty,RB,LV,CLE,"$6,300.00",16.3,0.8,0.09,6.8,27.8,25.2424,$2.59,90.48%,87%,3.5%,40835456
Chase Brown,RB,CIN,NE,"$6,200.00",18.8,3.5,0.34,8.4,31.5,20.915999999999997,$3.03,94.90%,100%,-5.1%,40835458
Daniel Jones,QB,IND,@KC,"$6,200.00",17.3,-1.9,0.02,8.9,27.4,26.797199999999997,$2.79,89.12%,68%,21.1%,40835368
Rome Odunze,WR,CHI,PIT,"$6,100.00",12.5,-2.6,0.03,3.4,24.1,23.377000000000002,$2.05,80.95%,73%,8.0%,40835718
Breece Hall,RB,NYJ,@BAL,"$6,100.00",14.4,-0.6,0.07,5.6,25.4,23.6982,$2.36,84.01%,81%,3.0%,40835460
Quinshon Judkins,RB,CLE,@LV,"$6,000.00",13.7,-1.2,0.06,5.4,24.9,23.430899999999998,$2.28,81.97%,80%,2.0%,40835462
Jared Goff,QB,DET,NYG,"$6,000.00",20.8,2.2,0.11,11.4,31.7,28.086199999999998,$3.47,95.24%,94%,1.2%,40835369
Michael Pittman Jr.,WR,IND,@KC,"$6,000.00",12.6,-2.3,0.04,4.4,23.3,22.4379,$2.10,79.59%,77%,2.6%,40835720
Brock Bowers,TE,LV,CLE,"$6,000.00",15.4,0.5,0.09,6.0,26.7,24.4038,$2.57,88.10%,86%,2.1%,40836104
Travis Etienne Jr.,RB,JAX,@ARI,"$5,900.00",13.5,-1.2,0.08,4.7,25.0,23.05,$2.29,82.31%,83%,-0.7%,40835464
